Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
777.,482,CARIVENC Lise,651,30:30,3:13,816,1:58:56,2:11,865,40:39,Finish,3:15:30,35/93,F25-29
780.,448,ROUSSEAU Coline,459,28:47,3:01,806,1:58:35,1:36,1058,43:37,Finish,3:15:39,36/93,F25-29
782.,196,TRIQUET Sarah,1056,34:48,3:36,762,1:56:53,1:46,740,38:52,Finish,3:15:57,37/93,F25-29
783.,1492,DESPUJOLS Helena,1059,34:49,8:12,572,1:49:59,3:17,807,39:38,Finish,3:15:58,29/81,F30-34
785.,455,SAENZ Sandra,335,27:35,4:03,849,2:00:15,2:07,965,42:05,Finish,3:16:07,10/43,F50-54
786.,72,ARIS Sophie,231,26:05,2:40,890,2:01:38,1:17,1100,44:29,Finish,3:16:10,17/40,F40-44
788.,47,DIEUZAIDE Clara,209,25:42,2:55,984,2:05:44,1:28,846,40:21,Finish,3:16:12,15/26,F20-24
790.,1611,CHALAND Fanny,745,31:26,4:37,905,2:02:01,1:48,551,36:25,Finish,3:16:18,30/81,F30-34
791.,783,DUMARTIN Camille,1252,38:20,3:29,695,1:54:06,1:31,749,38:57,Finish,3:16:24,38/93,F25-29
794.,557,KANG Kang,1180,36:22,3:50,767,1:56:59,1:28,662,37:49,Finish,3:16:30,31/81,F30-34
796.,1174,ROCHA Angélique,1144,35:49,4:15,790,1:58:00,1:56,561,36:31,Finish,3:16:34,13/52,F45-49
798.,926,TARDY Camille,91,23:29,3:40,968,2:05:03,3:20,899,41:06,Finish,3:16:41,32/81,F30-34
903.,107,VIBERT Wendy,938,33:27,4:30,884,2:01:18,2:16,863,40:38,Finish,3:22:11,45/93,F25-29
904.,135,LOUSSOUARN Cassandra,972,34:01,2:36,1023,2:07:37,1:24,560,36:31,Finish,3:22:12,40/81,F30-34
905.,525,VILA Isaura,330,27:30,4:58,990,2:06:12,3:13,855,40:28,Finish,3:22:23,29/51,F35-39
908.,1306,CRIBIER Aurélie,850,32:26,4:15,874,2:01:02,2:34,972,42:10,Finish,3:22:28,17/26,F20-24
909.,111,TRISOLINI Jennifer,1041,34:41,4:08,880,2:01:12,2:59,795,39:32,Finish,3:22:34,30/51,F35-39
911.,1551,FROISSARD Sandrine,1106,35:15,5:03,826,1:59:12,2:27,862,40:38,Finish,3:22:37,18/52,F45-49
914.,464,EL KURDI Maya,344,27:42,4:01,1129,2:13:45,1:54,474,35:24,Finish,3:22:47,46/93,F25-29
916.,733,HOTSTON MOORE Esme,687,30:46,5:47,970,2:05:06,2:16,763,39:08,Finish,3:23:06,47/93,F25-29
920.,690,DAVIES Alice,891,32:51,3:54,1040,2:08:34,1:45,549,36:23,Finish,3:23:29,48/93,F25-29
921.,186,DOGOT Chloé,242,26:13,3:44,1004,2:06:51,1:46,1116,44:55,Finish,3:23:31,49/93,F25-29
928.,1332,BALSAC Mathilde,534,29:29,3:41,993,2:06:15,2:51,931,41:37,Finish,3:23:56,41/81,F30-34
930.,365,CAILLAUD Chloé,750,31:27,2:49,1053,2:09:16,1:36,737,38:49,Finish,3:23:59,50/93,F25-29
931.,1284,ZENOU Alice,1420,47:12,,-,,,-,,Finish,3:24:00,42/81,F30-34
934.,1367,CARBONE Charlotte,763,31:31,3:25,1033,2:08:08,2:17,738,38:50,Finish,3:24:12,43/81,F30-34
936.,80,GUINARD BOSSE Christel,1010,34:22,3:28,1017,2:07:23,2:22,573,36:44,Finish,3:24:21,31/51,F35-39
939.,803,BENARD Marina,584,29:55,4:06,1045,2:08:47,2:07,810,39:40,Finish,3:24:37,19/52,F45-49
945.,1178,BERG Christelle,187,25:27,3:23,1077,2:10:32,2:02,1047,43:26,Finish,3:24:51,32/51,F35-39
948.,99,AUDOIN Céline,578,29:53,3:05,1068,2:10:03,1:36,847,40:22,Finish,3:25:00,33/51,F35-39
950.,1179,RAYMOND Magalie,1157,36:04,4:00,853,2:00:20,1:49,1006,42:47,Finish,3:25:01,22/40,F40-44
963.,1439,ROETTGER Manon,1115,35:21,4:11,994,2:06:16,2:06,699,38:14,Finish,3:26:10,51/93,F25-29
970.,1621,ZOLLINO Sophie,1413,46:41,5:30,651,1:52:45,2:05,786,39:27,Finish,3:26:31,34/51,F35-39
971.,694,FASEY Kirsten,741,31:24,5:20,987,2:05:57,1:56,952,41:54,Finish,3:26:34,20/52,F45-49
974.,236,THIRY Aurélie,872,32:43,3:21,939,2:03:17,2:22,1113,44:52,Finish,3:26:38,44/81,F30-34
975.,507,REPELIN Gwenaelle,959,33:50,,-,,,-,,Finish,3:26:39,35/51,F35-39
